# Census YELLOW acknowledgements. One row per census run that crossed
# CENSUS_ALARM_SECS, recording what profiling FOUND — not merely that someone
# noticed.
#
# WHY THIS FILE EXISTS RATHER THAN A REGISTRY ROW. The first version of the
# alarm asserted that an idea-registry row EXISTED. That can only ever be
# satisfied: once the row is written, every future yellow run passes silently
# forever, and the alarm degrades into a formality on exactly the runs it was
# built to catch. It is the same one-directional-acknowledgement rot that
# seam-guard's STALE-DECL verdict exists to prevent. Keying on the RUN instead
# means a new slow run cannot inherit the previous run's acknowledgement.
#
# WHAT THE CHECK CAN AND CANNOT ENFORCE, stated plainly so nobody mistakes it
# for more than it is: it enforces that the latest over-alarm run has a row
# here and that the row's `finding` is non-empty. It CANNOT verify a flamegraph
# was taken or that anything was made faster. It buys a forced look, not a fix.
#
# when	wall_s	cpu_ratio	finding
2026-09-07T23:15:07Z	1398.403	29.61	PROFILED — canonical run at f6ef9d9d9a30 after The Murrain's two allocation repairs. The run is 1,398.403 s wall / 41,409.631 CPU-s (user + sys), versus 1,269.605 s / 37,233.589 CPU-s at the preceding 81968faee baseline: +10.1% wall and +11.2% CPU-s, while cpu_ratio remains in the established 27.84-30.70 band. The earlier 4,521 s branch run fell to this 1,398 s run after storing epidemic components once and reusing each era's epidemic graph; that A/B shape identifies the epidemic derivation as the campaign-owned added work, not an O(n^2) regression. The yellow result is therefore a measured cost of the new all-world epidemic history, with no threshold or census scope change; the next optimization question is whether the remaining per-era graph/population work can be reduced without changing the six metrics.
2026-09-10T00:24:27Z	1412.890	29.88	ATTRIBUTED — the Wanderers census is 1,412.890 s wall / 41,780.847 CPU-s, only +1.0% wall and +0.9% CPU-s over the immediately preceding 1,398.403 s canonical run, with cpu_ratio 29.88 inside the established 27.84-30.70 band. The binary-system admission changes world regimes and calibration values but adds no new census metric or unbounded traversal; the prior Murrain profile already found the active cost in bounded per-world epidemic history, not an O(n^2) path. This is a same-band variance read, recorded so the alarm is acknowledged without moving its threshold; a future materially higher run still owes a fresh flamegraph.
2026-09-04T19:59:23Z	1060.274	28.17	PROFILED — post-intervention canonical confirmation at fbe2f5a90 on lefford. This is the same bounded two-pool workload isolated by the live 150-world all-metric profile and matched A/B recorded in the next row, now measured end to end: 29,563.783 CPU-s versus 33,709.137 before the intervention, recovering 4,145.354 CPU-s (-12.3%); wall 1,060.274 versus 1,188.863 (-10.8%). Both 1,000-row tables retained exactly 22 `weft-*` columns byte-for-byte (normalized hashes b977bf38f64e415c4eefdbc79f8df49f0cf6aa9be2760d39fa31126bbcfb4605 and 5cd6e3ace13b74551179a817c1a670f8ec2e3e5cfa656269d5da60b921d34df1). The fresh residual profile after the kept changes put the walk pool at 0.69%, prepared prevalence 0.63%, index construction 0.40% and field-pack construction 0.01%; the only larger grid share contains one required geometry preparation per facet plus semantic work. Exact lookup was 0.000677% ideal and the strongest real cache measured 0.601% with RSS +5.73%/+6.25%, so G6 accepted the §12.3 stop. The alarm remains yellow because 1,060.274 is 6.0% over its wall threshold; the response is this attribution, not another bound increase or an unmeasured optimization batch.
2026-09-04T14:08:51Z	1188.863	28.62	PROFILED — live on lefford at the run's own ref d7eb905b2. A 150-world all-metric perf capture (167,277 samples, zero lost) plus interleaved matched noweft/all panels found no super-linear path: the two Weft pools are bounded linear passes, and the 22 `weft-*` registrations explain 5,469 of the 5,598 CPU-s added over the pre-Weft band (97.7%); a merge-base control put all other campaign changes at +1.0%, inside noise. Both `metrics: all` studies pay the registrations across 2,000 rows. The profile attributed about 72% / ~3,900 CPU-s of the Weft bill to recoverable duplicate work, chiefly four repeated `corner_weights` calls after the grid pool already owned the value; this was an attribution hypothesis, not an A/B result. Task 11 then measured the isolated grid panel at 627.01 -> 399.90 user CPU-s (-36.2%), wall -33.5%, RSS +0.9%, with `weft_grid_pool` 10.021% -> 3.51%. Task 12's prepared walk seam projects 419.800 CPU-s (1.372% of the full 30,599.470 CPU-s denominator), with all eight matched pairs positive and `weft_walk_pool` 1.69% -> 0.69%. Exact lookup was only 42/163,848 hits (0.000677% ideal avoidance); a direct ancestor-cache A/B projected 183.967 CPU-s (0.601%) while RSS rose 5.73%/6.25%, so it was removed and the intervention stopped. All 249 columns were exact across default and both meeting rosters. Durable detail: The Weft ledger entries #17-#23 and design §12.5.
2026-08-19T15:30:40Z	918.457	32.45	NOT PROFILED — policy predates the profile requirement. Recorded as the seed row so the ledger starts populated rather than empty (an empty ledger and a satisfied one look identical to a reader). Attribution done instead by A/B against the ledger: four of seven post-memoisation runs exceed 900 (949.579, 920.212, 979.539, 918.457) at cpu_ratio 28.56-33.23, so this is mid-band variance, not The Burr's epoch. The FIRST yellow run after this one owes a real flamegraph.
2026-08-24T19:02:48Z	900.954	33.13	PROFILED — `perf record -F 49 -g --call-graph fp` (frame-pointer `[profile.profiling]` build) over `lab run studies/the-census.study.json` on lefford at 6da5de512, the same SHA this row's census ran: 1,067,504 samples, 576 s wall / 21,657 CPU-s at 37.6x (the study is ~73% of the census run's 29,533 CPU-s; the rest is census-of-the-meeting and the other regen work). NO REGRESSION VISIBLE AND NO SUPER-LINEAR WORK. Shape: 82.80% of cycles inside `runner::build_row`, a pure per-seed function with nothing accumulated across worlds, so the sweep is linear in seeds by construction; that splits 51.05% metric extraction / 31.70% world build, and `publish` is 0.00%. Self time is dominated by per-cell field evaluation at a FIXED geosphere resolution — `Fbm::sample` 7.89%, libm exp/pow/sin/cos/tan/acos/asin/rem_pio2 18.2% combined, `floor` 2.60% — plus 18.67% of all cycles in libc (malloc/free/consolidate 12.8%, memmove 4.33%). The one O(S^2) shape in the tree, `add_land_routes`' settlement-pair loop, is hop-radius-gated and does only a set lookup per pair; re-measured fresh on seed 42 it makes 3,237 A* attempts of 24,310 possible pairs at 221 settlements (86.7% filtered, 14.6 attempts per settlement — a constant per-settlement neighbourhood), A* is additionally budget-capped, and the whole `least_cost` subtree is 6.43%. The lineage path The Glasshouse found super-linear (`descendants_of` / `median_hops`, O(nodes^2 x depth)) does not appear ANYWHERE above the 0.05% cutoff — The Begat's fix holds. Consistent with mid-band variance: this run is the exact MEDIAN of the last eight censuses by wall (855.5 / 882.5 / 884.6 / 900.95 / 918.5 / 920.2 / 949.6 / 979.5) and mid-band by CPU-s (29,533 in a 26,755-31,393 band), and across those eight wall and CPU-s are visibly DECOUPLED (949.579 s at 26,793 CPU-s vs 855.533 s at 27,774), so the ±7% wall spread is parallel-efficiency scheduling (cpu_ratio 28.56-33.23), not work. TWO CONSTANT-FACTOR REDUNDANCIES found, worth a followup but NOT this alarm's cause — neither grows with anything: `spearman_defensibility_capacity` is 14.36% of the census and spends 6.81% of it inside `connection_graph_of` re-deriving terrain from the ledger (`terrain_of` -> `globe::generate`), plus climate, although the `FullView` it is handed already holds both; and `demography_report_from_masked` is computed TWICE, once per each of two metric closures, at 7.58% + 7.53% = 15.13%. Roughly 14% of total cycles is duplicated work recoverable by plumbing alone, with no algorithmic change.
2026-08-25T01:10:43Z	909.459	32.74	NOT FLAMEGRAPHED, and the previous row said the first yellow run after it owed one — so this is a debt rolled forward, not discharged. What I have instead is stronger for the one question a flamegraph would have been asked here and weaker for every other. THIS CAMPAIGN MEASURED ITS OWN PER-WORLD COST DIRECTLY: a 150-seed two-arm study, user-CPU-time deltas (wall was useless, the box sat at load 30-146), isolating 45 candidate metrics at 2.95 ms/metric/world, then 0.953 after a memoisation whose 3.09x matched a 45-to-15 lexicon-build reduction of 3.00x. Those metrics were then UNREGISTERED entirely (decision 0260), so the shipped tree adds ZERO per-world census work — that is measured, not assumed. ATTRIBUTION FOR THIS RUN: 909.459 at cpu_ratio 32.74 sits mid-band against the eight most recent recorded runs (855.533-979.539, four of eight over the 900 threshold, cpu_ratio 29.43-33.23), between the 904.554 immediately preceding it and the 918.457/920.212 above. Six censuses ran on this box tonight and none moved outside that band in either direction. WHAT REMAINS UNEXAMINED, stated so the next reader does not mistake this for a clean bill: I have evidence this CAMPAIGN added no per-world work, and no evidence about anything else that may have accumulated since the band was established. The flamegraph obligation passes to the next yellow run, and it should be taken by someone who is not also the author of the change under suspicion.
2026-08-27T13:35:34Z	1090.941	33.72	NOT FLAMEGRAPHED — the run was already delivered from lefford (census/a94563b8513a-20260827T135508Z, goldens b8a116b27) by the time this campaign re-pinned against it, and re-running a census from here is out of scope (this box is not the canonical host, decision 0079, and a second run would not be the one this row must explain). What follows is static evidence, not a live profile, and it points at a specific, quantifiable, campaign-owned cause rather than diffuse drift. THE NUMBER: 36,589.377 CPU-s against the eleven most recent prior runs' 26,755-31,393 band (mean ~29,100) — +16.6% over the prior BAND MAXIMUM, +38.1% over the band's low end. cpu_ratio (33.72) sits inside the recent 29.43-33.57 range, and wall (1090.941 s, +21.6% over the prior run) tracks the CPU-s increase closely, so this reads as added WORK, not scheduling/contention (the decoupled-wall-vs-CPU-s pattern the 2026-08-24 row found does not apply here). CANDIDATE CAUSE, FOUND BY READING THE DIFF THIS CAMPAIGN LANDS: Task 9 (`MAP-per-rung-substrate`) added `subterranean_substrate_field_per_rung` (`windows/worldgen/src/lib.rs`), which evaluates `subterranean_substrate_at_rung` — a per-vertex cave lookup, geothermal-gradient read, water-table depth calculation and substrate derivation, the same per-vertex work `subterranean_substrate_field` already paid once — over EVERY vertex AND all six `Band` rungs (`Band::all()`), i.e. ~6x that subsystem's prior per-vertex cost. It is called at BOTH of `subterranean_substrate_field`'s two existing production call sites (`windows/worldgen/src/lib.rs:1573`/`1581` and `:1922`/`1927`), unconditionally, on every world build — so every one of the census's 1000 worlds now pays roughly 7x (1 original + 6 per-rung) where it used to pay 1x for this one field. This is exactly the shape of cost this alarm exists to catch (new O(vertices x rungs) work entering silently), and it is directly attributable to a change landed in THIS campaign rather than to accumulated drift from the other work absorbed since the last profiled run. NOT MEASURED HERE: what fraction of total census cycles this subsystem actually occupies (a live perf run would settle that in minutes) — so this is a strong, falsifiable hypothesis pointing at a specific function and campaign, not a closed case. A follow-up flamegraph on the next yellow run should check `subterranean_substrate_at_rung`/`subterranean_substrate_field_per_rung`'s self time first.
2026-08-27T19:18:05Z	972.602	33.36	PROFILED, but the profile is attributed to the fix commit rather than this row directly. This IS the campaign the 2026-08-27T13:35:34Z row flagged as owing the next yellow run's flamegraph, and it was taken: d0d0a4e02 ("perf: stop rebuilding the underworld's per-vertex fields (The Sources)") states "Three pure-optimisation fixes found by a lefford profile after the per-rung underworld fields pushed the census's CPU-s +16.6% over its band maximum" and lands three fixes: (1) subterranean_substrate_at_rung checks Band::Surface before calling terrain.cave_at rather than after, so a Surface rung stops deriving a cave only to discard it (~1.6% of census cycles); (2) subterranean_energy_field_per_rung now reads the per-rung substrate field its two production call sites already build instead of re-deriving each rung's moisture a second time; (3) subterranean_substrate_field_per_rung calls terrain.cave_at once per vertex instead of once per rung (cave_at samples noise through a fresh SphereFbm every call, the Fbm derive-once pattern, CLAUDE.md, ~4.48% of all census cycles project-wide with roughly two-thirds attributable to these two per-rung functions). THIS ROW'S RUN (ddacd5716) IS AFTER THAT FIX LANDED, and the CPU-s bear it out: 32189.836 against the flagged run's 36589.377 (-12.0%), consistent with the redundant per-vertex/per-rung recomputation having been removed. It does NOT return to the pre-per-rung band (29296.878-30192.179 across the five most recent runs before the per-rung field landed) -- 32189.836 sits +6.6% over that band's maximum -- which is expected and not a further regression: Task 9 of this same campaign (a19d0aa53, "the per-rung switch") is the commit that makes per_species_suitability/per_species_capacity's Subterranean arm actually READ the best-of-six-rungs answer instead of one deepest-point reading, so the per-rung field's six-rung evaluation is real, load-bearing work now, not overhead left over from an unused field. No further profiling action indicated for this row; the obligation the 08-27T13:35 row created is discharged.
2026-08-28T01:14:34Z	954.870	33.72	NOT FLAMEGRAPHED — a live perf run from this session is out of scope the same way the 2026-08-27T13:35:34Z row's was (this host is not the canonical box, decision 0079, and this campaign's own operating constraints forbid dispatching a census or any other heavy job). What follows is static evidence against docs/timings.md's own census rows, not a live profile. THIS RUN (83fcd1689) LANDS REAL CODE, not merely a re-pin: since the immediately preceding row's ddacd5716, this campaign shipped c4192797b ("fix(worldgen): put vent chemotrophy on CHEMOSYNTHATE, not MARINE_FORAGE" — Task 10's own fix, adding a new per-vertex marine_chemosynthate_supply_field and rewiring both per_species_suitability_masked/per_species_capacity_at call sites to read it for a Surface kind) and a56d91320 (a heavy-fixture re-pin, no production code). That is exactly the shape of change this alarm exists to catch — new per-vertex field work entering a shipped path — so it earned a look rather than a shrug. THE NUMBERS SAY IT DID NOT COST: CPU-s FALLS relative to the immediately preceding run, 32189.836 -> 31951.270 (-0.7%), and wall falls too, 972.602 -> 954.870 (-1.8%); cpu_ratio is unchanged at 33.72 (matching the 2026-08-27T13:35:34Z row's 33.72 as well). Both figures sit inside the post-per-rung band the preceding row established and explained (32189.836, itself +6.6% over the pre-per-rung 29296.878-30192.179 band and attributed there to Task 9's per-rung substrate switch becoming load-bearing, not overhead). READING: checked marine_chemosynthate_supply_field's own body (windows/worldgen/src/lib.rs) rather than assume — it calls terrain.material_at/geothermal_gradient_at/drainage_at per vertex, and none of those three samples noise the way cave_at does (material_at and drainage_at are plain precomputed-array reads, *self.globe.lithology.get(id) and *self.globe.drainage.get(id); geothermal_gradient_at is a closed-form formula over already-computed crust thickness/age/continental flag — domains/terrain/src/provider.rs). So the new field is ONE MORE single O(vertices) pass, the same cost shape as the existing insolation/mineral/detritus/marine supply fields it sits beside, not a per-rung multiplier and not a new noise-sampling site — the opposite shape from the Task-9 regression the 2026-08-27T13:35:34Z row caught. That is consistent with the flat-to-falling CPU-s measured. No regression indicated; no further profiling action taken for this row.
