key	disposition	residue_kind	residue_target	evidence	specs	plans	ledgers	chronicles	retrospectives
chronicle-15-the-eyes	shipped	none		published chronicle				book/src/chronicle/15-the-eyes.md	
chronicle-16-the-tongues	shipped	none		published chronicle				book/src/chronicle/16-the-tongues.md	
chronicle-17-audible-phonology	shipped	none		published chronicle				book/src/chronicle/17-audible-phonology.md	
chronicle-18-the-meeting	shipped	none		published chronicle				book/src/chronicle/18-the-meeting.md	
chronicle-19-the-star-chart	shipped	none		published chronicle				book/src/chronicle/19-the-star-chart.md	
chronicle-20-firm-ground-ii	shipped	none		published chronicle				book/src/chronicle/20-firm-ground-ii.md	
chronicle-21-the-scene-window	shipped	none		published chronicle				book/src/chronicle/21-the-scene-window.md	
chronicle-22-the-atlas	shipped	none		published chronicle				book/src/chronicle/22-the-atlas.md	
chronicle-23-the-orrery	shipped	none		published chronicle				book/src/chronicle/23-the-orrery.md	
chronicle-25-the-measured-coast	shipped	none		published chronicle				book/src/chronicle/25-the-measured-coast.md	
chronicle-26-the-live-orrery	shipped	none		published chronicle				book/src/chronicle/26-the-live-orrery.md	
chronicle-27-the-words	shipped	none		published chronicle				book/src/chronicle/27-the-words.md	
chronicle-bio2-life-history	shipped	none		published chronicle				book/src/chronicle/bio2-life-history.md	
chronicle-campaign-1a	shipped	none		published chronicle				book/src/chronicle/campaign-1a.md	
chronicle-campaign-1b	shipped	none		published chronicle				book/src/chronicle/campaign-1b.md	
chronicle-campaign-2a	shipped	none		published chronicle				book/src/chronicle/campaign-2a.md	
chronicle-campaign-2b	shipped	none		published chronicle				book/src/chronicle/campaign-2b.md	
chronicle-campaign-3b	shipped	none		published chronicle				book/src/chronicle/campaign-3b.md	
chronicle-campaign-3c	shipped	none		published chronicle				book/src/chronicle/campaign-3c.md	
chronicle-campaign-4a	shipped	none		published chronicle				book/src/chronicle/campaign-4a.md	
chronicle-campaign-4b	shipped	none		published chronicle				book/src/chronicle/campaign-4b.md	
chronicle-campaign-5	shipped	none		published chronicle				book/src/chronicle/campaign-5.md	
chronicle-campaign-l0-lab	shipped	none		published chronicle				book/src/chronicle/campaign-l0-lab.md	
chronicle-campaign-y2-0	shipped	none		published chronicle				book/src/chronicle/campaign-y2-0.md	
chronicle-campaign-y2-1	shipped	none		published chronicle				book/src/chronicle/campaign-y2-1.md	
chronicle-census-as-data	shipped	none		published chronicle				book/src/chronicle/census-as-data.md	
chronicle-common-ground	shipped	none		published chronicle				book/src/chronicle/common-ground.md	
chronicle-crust	shipped	none		published chronicle				book/src/chronicle/crust.md	
chronicle-deep-time	shipped	none		published chronicle				book/src/chronicle/deep-time.md	
chronicle-eclipse-seasons	shipped	none		published chronicle				book/src/chronicle/eclipse-seasons.md	
chronicle-few-and-many	shipped	none		published chronicle				book/src/chronicle/few-and-many.md	
chronicle-goldengrove	shipped	none		published chronicle				book/src/chronicle/goldengrove.md	
chronicle-lab-performance	shipped	none		published chronicle				book/src/chronicle/lab-performance.md	
chronicle-rift-and-fit	shipped	none		published chronicle				book/src/chronicle/rift-and-fit.md	
